RUN	ru.domrf.dominvest.scenario.Invest	invest	1716292416169	1	3.10.2
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292422647	1716292422665	OK	 
GROUP	TC:gRPC	1716292422647	1716292422666	18	OK
GROUP	TC:CreateOperation	1716292422666	1716292422717	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292422718	1716292423063	OK	 
GROUP	TC:gRPC	1716292422718	1716292423068	345	OK
GROUP	TC:CreateOperation	1716292423068	1716292423126	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292423127	1716292423145	OK	 
GROUP	TC:gRPC	1716292423127	1716292423146	18	OK
GROUP	TC:CreateOperation	1716292423146	1716292423218	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292423219	1716292423241	OK	 
GROUP	TC:gRPC	1716292423218	1716292423244	22	OK
GROUP	TC:CreateOperation	1716292423244	1716292423337	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292423338	1716292423359	OK	 
GROUP	TC:gRPC	1716292423337	1716292423360	21	OK
GROUP	TC:CreateOperation	1716292423360	1716292423412	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292423414	1716292423460	OK	 
GROUP	TC:gRPC	1716292423413	1716292423461	46	OK
GROUP	TC:CreateOperation	1716292423461	1716292423533	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292423534	1716292423555	OK	 
GROUP	TC:gRPC	1716292423534	1716292423556	21	OK
GROUP	TC:CreateOperation	1716292423556	1716292423604	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292423606	1716292423625	OK	 
GROUP	TC:gRPC	1716292423606	1716292423627	19	OK
GROUP	TC:CreateOperation	1716292423627	1716292423718	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292423719	1716292423736	OK	 
GROUP	TC:gRPC	1716292423718	1716292423737	17	OK
GROUP	TC:CreateOperation	1716292423737	1716292423787	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292423788	1716292423810	OK	 
GROUP	TC:gRPC	1716292423788	1716292423811	22	OK
GROUP	TC:CreateOperation	1716292423811	1716292423892	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292423893	1716292423924	OK	 
GROUP	TC:gRPC	1716292423893	1716292423925	31	OK
GROUP	TC:CreateOperation	1716292423925	1716292424004	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292424005	1716292424024	OK	 
GROUP	TC:gRPC	1716292424005	1716292424025	19	OK
GROUP	TC:CreateOperation	1716292424025	1716292424077	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292424079	1716292424101	OK	 
GROUP	TC:gRPC	1716292424079	1716292424102	22	OK
GROUP	TC:CreateOperation	1716292424102	1716292424154	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292424155	1716292424173	OK	 
GROUP	TC:gRPC	1716292424154	1716292424174	18	OK
GROUP	TC:CreateOperation	1716292424174	1716292424225	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292424226	1716292424260	OK	 
GROUP	TC:gRPC	1716292424226	1716292424261	34	OK
GROUP	TC:CreateOperation	1716292424261	1716292424308	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292424308	1716292424331	OK	 
GROUP	TC:gRPC	1716292424308	1716292424333	23	OK
GROUP	TC:CreateOperation	1716292424333	1716292424399	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292424400	1716292424422	OK	 
GROUP	TC:gRPC	1716292424399	1716292424424	22	OK
GROUP	TC:CreateOperation	1716292424424	1716292424481	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292424486	1716292424505	OK	 
GROUP	TC:gRPC	1716292424485	1716292424507	19	OK
GROUP	TC:CreateOperation	1716292424507	1716292424565	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292424566	1716292424586	OK	 
GROUP	TC:gRPC	1716292424566	1716292424587	20	OK
GROUP	TC:CreateOperation	1716292424587	1716292424678	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292424679	1716292424698	OK	 
GROUP	TC:gRPC	1716292424679	1716292424700	19	OK
GROUP	TC:CreateOperation	1716292424700	1716292424760	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292424761	1716292424781	OK	 
